Round,ezdos,eztcs,ab2btl1,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl11,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl11,ab22btl12,ab22btl17,ab22btl18,ab22btl19,ab22btl05,ab22btl08,ab22btl11,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl12,ab22btl14,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl07,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf11,bash3ctf3,bash3ctf1,bash3ctf12,bash3ctf1,bash3ctf2,bash3ctf3,ab22ctf01,ab22ctf02,ab22ctf03,ab5ctf1,ab22ctf06,ab22ctf07,ab22ctf09,ab22ctf15,ab22ctf16,ab22CTF17,ab22CTF18,ab22CTF19,ab22CTF20,ab22ctf02,ab22ctf07,ab22ctf08,ab22ctf10,ab22ctf11,ab22ctf08,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf04,ab22ctf05,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl20,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl10,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl03,ab22btl11,ab22btl02,ab22btl03,ab22btl08,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22ctf02,ab22ctf02,ab22ctf03,ab22ctf15,ab22ctf17,ab22ctf18,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf01,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,gw,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf03,ezastro,eztcs,ezdaybreak,ezdaybreak,ab2ctf14,olcjunge,ezdaybreak,ezmoon,ezmoon,mlynepitome,mlynepitome,ezdos,ezdos,ezastro,ezastro,evilmike211,evilmike211,sebow,xlmfishing,olcmdvl,ab22ctf01,techtree,pinball2k15,olcpitctf,ab22ctf19,2upsbreach2,am,2updnc,hellwarp,ezmaelstrom,snxus02,ab16btl08,ab22btl08,ab16btl03,ab22btl17,survivor20,ab21btl19,eztundra,ab21btl13,sc2aend,survivor10,survivor24,mingfpack12,survivor06,mingfpack6,survivor13,survivor23,mingfpack11,xlmff11,survivor08,survivor29,mlsurv08,survivor27,mingfpack3,survivor17,mingfpack2,survivor09,mingfpack1,survivor25,xlmff04,survivor19,survivor02,survivor20,mingfpack25,mingfpack5,survivor16,survivor12,mingfpack15,survivor07,survivor21,mingfpack9,survivor04,survivor22,mingfpack34,survivor03,survivor30,survivor28,survivor28,Total
Mindy[GpW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8027
[Si]näKuubaPaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66985
PrimordialSoup-CDF-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52727
SiSi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52727
Myles,,,,,,,,,,,,,,,,,3,5,5,3,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47731
Dubu,,,,,,,,,,,,,,3,1,1,5,1,0,6,2,8,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47731
SpaZ20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,67,46,67,13,142,57,0,0,45,53,147,125,15,40,93,58,67,132,17,45,116,62,72,62,38,122,6,142,344,,,,,,,,,2.46697
baby bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,189,7,46,0,105,32,350,135,127,37,0,44,0,10,82,115,22,101,37,83,136,0,23,23,11,78,25,105,0,0,0,0,32,37,11,23,48,2.42809
Baja[CDF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41811
DannyZ[CDF],,,,4,10,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31014
Roaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28269
Jelly[SRB]Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22994
[SRB]Laz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22994
[SRB]Pav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22994
[CDF]Laser2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22994
[BRXT]rg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22994
[BRXT]B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22994
[BRXT]PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22994
hungry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,16,0,,,,,0,13,155,79,42,122,0,67,19,11,6,30,370,10,106,47,101,5,5,6,17,6,45,45,127,31,12,18,0,6,34,19,19,18,147,23,87,57,2.22542
